id,domain,katanga,kivu,notes
123,admin,Una mtandao?,Una mtandao?,"Starter (synthetic, review with native speakers)"
124,tech,Usifanye kulipa,Usifanye kulipa,"Starter (synthetic, review with native speakers)"
125,translation,Ni mbaya sana,Ni mbaya sana,"Starter (synthetic, review with native speakers)"
126,admin,Una simu?,Una simu?,"Starter (synthetic, review with native speakers)"
127,daily,Usifanye kupiga telefon,Usifanye kupiga simu,"Starter (synthetic, review with native speakers)"
128,admin,Tafadhali nipe chaja,tafadhali tafadhali nipe chaja,"Starter (synthetic, review with native speakers)"
129,transport,Nitatuma ujumbe jioni,Nitatuma ujumbe jioni,"Starter (synthetic, review with native speakers)"
130,admin,Ni ngumu sana,Ni ngumu sana,"Starter (synthetic, review with native speakers)"
131,daily,Ni ndogo sana,Ni ndogo sana,"Starter (synthetic, review with native speakers)"
132,transport,Ninaenda kituoni,Ninaenda kituoni,"Starter (synthetic, review with native speakers)"
133,greetings,Ni nafuu sana,Ni nafuu sana,"Starter (synthetic, review with native speakers)"
134,admin,Ninahitaji maji,Ninahitaji maji,"Starter (synthetic, review with native speakers)"
135,health,Niko na haraka,Niko na haraka,"Starter (synthetic, review with native speakers)"
136,greetings,Usifanye kurekodi sauti,Usifanye kurekodi sauti,"Starter (synthetic, review with native speakers)"
137,mining,Ninahitaji msaada,Ninahitaji msaada,"Starter (synthetic, review with native speakers)"
138,mining,Ninahitaji network,Ninahitaji mtandao,"Starter (synthetic, review with native speakers)"
139,daily,Ninahitaji dawa,Ninahitaji dawa,"Starter (synthetic, review with native speakers)"
140,mining,Ninahitaji muda,Ninahitaji muda,"Starter (synthetic, review with native speakers)"
141,transport,Ninaenda ofisini,Ninaenda ofisini,"Starter (synthetic, review with native speakers)"
142,transport,Ninaenda nyumbani,Ninaenda nyumbani,"Starter (synthetic, review with native speakers)"
143,mining,Ni safi,Ni safi,"Starter (synthetic, review with native speakers)"
144,admin,Tunaweza kuongea jioni?,Tunaweza kuongea jioni?,"Starter (synthetic, review with native speakers)"
145,tech,Niko bila muda,Niko bila muda,"Starter (synthetic, review with native speakers)"
146,tech,Usifanye kutoka,Usifanye kutoka,"Starter (synthetic, review with native speakers)"
147,daily,Tafadhali nipe dawa,Tafadhali nipe dawa,"Starter (synthetic, review with native speakers)"
148,commerce,Ni rahisi sana,Ni rahisi sana,"Starter (synthetic, review with native speakers)"
149,tech,Ni rahisi sana,Ni rahisi sana,"Starter (synthetic, review with native speakers)"
150,health,Ninahitaji muda,Ninahitaji muda,"Starter (synthetic, review with native speakers)"
151,health,Nitatuma ujumbe jioni,Nitatuma ujumbe jioni,"Starter (synthetic, review with native speakers)"
152,admin,Tafadhali nipe pesa,Tafadhali nipe pesa,"Starter (synthetic, review with native speakers)"
153,tech,Naomba kuandika,Naomba kuandika,"Starter (synthetic, review with native speakers)"
154,greetings,Una chaja?,Una chaja?,"Starter (synthetic, review with native speakers)"
155,translation,Ni ndogo sana,Ni ndogo sana,"Starter (synthetic, review with native speakers)"
156,commerce,Ninaenda hospitali,Ninaenda hospitali,"Starter (synthetic, review with native speakers)"
157,mining,Usifanye kupiga telefon,Usifanye kupiga simu,"Starter (synthetic, review with native speakers)"
158,translation,Naomba kusubiri,Naomba kusubiri,"Starter (synthetic, review with native speakers)"
159,greetings,Usifanye kulipa,Usifanye kulipa,"Starter (synthetic, review with native speakers)"
160,translation,Nimepata pesa,Nimepata hela,"Starter (synthetic, review with native speakers)"
161,admin,Naomba kuingia,Naomba kuingia,"Starter (synthetic, review with native speakers)"
162,daily,Ni nzuri,Ni nzuri,"Starter (synthetic, review with native speakers)"
163,mining,Nimepata tiketi,Nimepata tiketi,"Starter (synthetic, review with native speakers)"
164,transport,Una chaja?,Una chaja?,"Starter (synthetic, review with native speakers)"
165,translation,Tunaweza kuongea sasa?,Tunaweza kuongea hivi sasa?,"Starter (synthetic, review with native speakers)"
166,health,Usifanye kuingia kwenye akaunti,Usifanye kuingia kwenye akaunti,"Starter (synthetic, review with native speakers)"
167,daily,Nimepoteza risiti,Nimepoteza risiti,"Starter (synthetic, review with native speakers)"
168,daily,Naomba kulipa,Naomba kulipa,"Starter (synthetic, review with native speakers)"
169,daily,Usifanye kuingia,Usifanye kuingia,"Starter (synthetic, review with native speakers)"
170,daily,Usifanye kulipa,Usifanye kulipa,"Starter (synthetic, review with native speakers)"
171,tech,Ni nafuu,Ni nafuu,"Starter (synthetic, review with native speakers)"
172,mining,Ninaenda ofisini,Ninaenda ofisini,"Starter (synthetic, review with native speakers)"
173,daily,Nimepoteza telefon,Nimepoteza simu,"Starter (synthetic, review with native speakers)"
174,greetings,Ninaenda kituoni,Ninaenda kituoni,"Starter (synthetic, review with native speakers)"
175,translation,Ni ngumu,Ni ngumu,"Starter (synthetic, review with native speakers)"
176,admin,Usifanye kurekodi sauti,Usifanye kurekodi sauti,"Starter (synthetic, review with native speakers)"
177,mining,Nimepata risiti,Nimepata risiti,"Starter (synthetic, review with native speakers)"
178,transport,Tunaweza kuongea wiki ijayo?,Tunaweza kuongea wiki ijayo?,"Starter (synthetic, review with native speakers)"
179,commerce,Tunaweza kuongea wiki ijayo?,Tunaweza kuongea wiki ijayo?,"Starter (synthetic, review with native speakers)"
180,transport,Nitatuma ujumbe wiki ijayo,Nitatuma ujumbe wiki ijayo,"Starter (synthetic, review with native speakers)"
181,tech,Nimepoteza simu,Nimepoteza simu,"Starter (synthetic, review with native speakers)"
182,daily,Tafadhali nipe telefon,Tafadhali nipe simu,"Starter (synthetic, review with native speakers)"
183,daily,Ni chafu,Ni chafu,"Starter (synthetic, review with native speakers)"
184,health,Tunaweza kuongea wiki ijayo?,Tunaweza kuongea wiki ijayo?,"Starter (synthetic, review with native speakers)"
185,mining,Tafadhali nipe muda,Tafadhali nipe muda,"Starter (synthetic, review with native speakers)"
186,mining,Tafadhali nipe network,Tafadhali nipe mtandao,"Starter (synthetic, review with native speakers)"
187,mining,Nitatuma ujumbe sasa,Nitatuma ujumbe sasa,"Starter (synthetic, review with native speakers)"
188,health,Nitatuma ujumbe kesho,Nitatuma ujumbe kesho,"Starter (synthetic, review with native speakers)"
189,admin,Nitatuma ujumbe kesho,Nitatuma ujumbe kesho,"Starter (synthetic, review with native speakers)"
190,commerce,Niko mgonjwa,Niko mgonjwa,"Starter (synthetic, review with native speakers)"
191,daily,Niko mgonjwa,Niko mgonjwa,"Starter (synthetic, review with native speakers)"
192,translation,Tafadhali nipe dawa,Tafadhali nipe dawa,"Starter (synthetic, review with native speakers)"
193,translation,Naomba kurekodi sauti,Naomba kurekodi sauti,"Starter (synthetic, review with native speakers)"
194,commerce,Usifanye kurekodi sauti,Usifanye kurekodi sauti,"Starter (synthetic, review with native speakers)"
195,admin,Ninaenda shuleni,Ninaenda shuleni,"Starter (synthetic, review with native speakers)"
196,tech,Una msaada?,Una msaada?,"Starter (synthetic, review with native speakers)"
197,greetings,Nimepata chaja,Nimepata chaja,"Starter (synthetic, review with native speakers)"
198,commerce,Usifanye kufungua akaunti,Usifanye kufungua akaunti,"Starter (synthetic, review with native speakers)"
199,daily,Nimepata chaja,Nimepata chaja,"Starter (synthetic, review with native speakers)"
200,daily,Nitatuma ujumbe baadaye,Nitatuma ujumbe baadaye,"Starter (synthetic, review with native speakers)"
201,commerce,Naomba kuingia kwenye akaunti,Naomba kuingia kwenye akaunti,"Starter (synthetic, review with native speakers)"
202,admin,Naomba kupiga telefon,Naomba kupiga simu,"Starter (synthetic, review with native speakers)"
203,daily,Una muda?,Una muda?,"Starter (synthetic, review with native speakers)"
204,daily,Nitatuma ujumbe baadaye,Nitatuma ujumbe baadaye,"Starter (synthetic, review with native speakers)"
205,tech,Ni kubwa sana,Ni kubwa sana,"Starter (synthetic, review with native speakers)"
206,health,Ni safi,Ni safi,"Starter (synthetic, review with native speakers)"
207,admin,Usifanye kuandika,Usifanye kuandika,"Starter (synthetic, review with native speakers)"
208,greetings,Niko sawa,Niko sawa,"Starter (synthetic, review with native speakers)"
209,admin,Nimepoteza barua,Nimepoteza barua,"Starter (synthetic, review with native speakers)"
210,daily,Tafadhali nipe muda,tafadhali tafadhali nipe muda,"Starter (synthetic, review with native speakers)"
211,daily,Nimepata risiti,Nimepata risiti,"Starter (synthetic, review with native speakers)"
212,greetings,Ni ndogo sana,Ni ndogo sana,"Starter (synthetic, review with native speakers)"
213,mining,Nimepoteza dawa,Nimepoteza dawa,"Starter (synthetic, review with native speakers)"
214,commerce,Tunaweza kuongea wiki ijayo?,Tunaweza kuongea wiki ijayo?,"Starter (synthetic, review with native speakers)"
215,greetings,Ninaenda sokoni,Ninaenda sokoni,"Starter (synthetic, review with native speakers)"
216,admin,Naomba kutoka,Naomba kutoka,"Starter (synthetic, review with native speakers)"
217,admin,Tunaweza kuongea sasa?,Tunaweza kuongea sasa?,"Starter (synthetic, review with native speakers)"
218,mining,Ni ndogo,Ni ndogo,"Starter (synthetic, review with native speakers)"
219,admin,Tunaweza kuongea wiki ijayo?,Tunaweza kuongea wiki ijayo?,"Starter (synthetic, review with native speakers)"
220,admin,Ni ghali,Ni ghali,"Starter (synthetic, review with native speakers)"
221,commerce,Nimepoteza pesa,Nimepoteza pesa,"Starter (synthetic, review with native speakers)"
222,admin,Ni ghali,Ni ghali,"Starter (synthetic, review with native speakers)"
